0.04,-0.05,0.0,0.00786,1375.0,-0.0,0.0
0.05,-0.2,-0.0,0.00986,1375.0,-0.02,-0.0
0.06,-0.33,-0.0,0.00851,1375.0,-0.06,-0.0
0.07,-0.44,-0.0,0.00841,1375.0,-0.09,-0.0
0.07,-0.56,0.0,0.00853,1375.0,-0.14,-0.0
0.08,-0.62,0.0,0.00923,1375.0,-0.19,0.0
0.09,-0.71,-0.0,0.00845,1375.0,-0.24,-0.0
0.1,-0.78,-0.0,0.00849,1375.0,-0.29,-0.0
0.11,-0.85,0.0,0.00876,1375.0,-0.35,-0.0
0.12,-0.88,0.0,0.00876,1375.0,-0.4,-0.0
0.13,-0.94,0.0,0.00849,1375.0,-0.46,0.0
0.13,-1.0,0.0,0.00849,1375.0,-0.51,0.0
0.14,-0.76,0.0,0.00887,1375.0,-0.54,0.0
0.15,-0.87,0.0,0.00888,1375.0,-0.57,0.0
0.16,-0.28,0.0,0.00882,1375.0,-0.54,0.0
0.17,-0.18,0.0,0.00852,1375.0,-0.5,0.0
0.18,-0.74,-0.0,0.0085,1375.0,-0.53,0.0
0.19,-0.91,0.01,0.0085,1375.0,-0.57,0.0
0.19,-0.87,0.01,0.00842,1375.0,-0.6,0.01
0.2,-0.82,0.0,0.00856,1375.0,-0.62,0.0
0.21,-0.58,-0.0,0.00885,1375.0,-0.62,0.0
0.22,-0.62,-0.01,0.00854,1375.0,-0.62,-0.0
0.23,-0.9,0.0,0.0085,1375.0,-0.64,0.0
0.24,-0.57,0.0,0.00857,1375.0,-0.64,0.0
0.25,-0.65,-0.01,0.00853,1375.0,-0.64,-0.0
0.26,-0.79,-0.01,0.00856,1375.0,-0.65,-0.01
0.26,-0.95,-0.0,0.00887,1375.0,-0.68,-0.0
0.27,-1.11,0.0,0.00884,1375.0,-0.72,-0.0
0.28,-1.47,0.01,0.00853,1375.0,-0.8,0.0
0.29,-1.35,0.01,0.00851,1375.0,-0.85,0.01
0.3,-1.22,0.0,0.00848,1375.0,-0.89,0.01
0.31,-1.04,-0.01,0.00847,1375.0,-0.91,-0.0
0.32,-0.98,-0.02,0.00842,1375.0,-0.91,-0.01
0.32,-0.93,-0.02,0.00865,1375.0,-0.91,-0.01
0.33,-1.12,-0.0,0.00881,1375.0,-0.93,-0.01
0.34,-1.53,0.02,0.00888,1375.0,-0.99,0.0
0.35,-1.55,0.03,0.00852,1375.0,-1.05,0.01
0.36,-1.36,0.05,0.00847,1375.0,-1.08,0.03
0.37,-1.19,-0.0,0.00844,1375.0,-1.09,0.02
0.38,-1.04,0.01,0.00847,1375.0,-1.09,0.02
0.38,-0.97,-0.03,0.00855,1375.0,-1.08,-0.0
0.39,-1.15,-0.02,0.0089,1375.0,-1.08,-0.01
0.4,-1.45,0.0,0.00848,1375.0,-1.12,-0.0
0.41,-1.63,0.02,0.00857,1375.0,-1.17,0.01
0.42,-1.65,0.03,0.00849,1375.0,-1.22,0.01
0.43,-1.58,0.02,0.00857,1375.0,-1.26,0.02
0.44,-1.4,0.01,0.00854,1375.0,-1.27,0.01
0.44,-1.19,-0.01,0.00884,1375.0,-1.26,0.0
0.45,-1.15,-0.05,0.00882,1375.0,-1.25,-0.02
0.46,-1.17,-0.01,0.00884,1375.0,-1.24,-0.02
0.47,-1.33,-0.01,0.00851,1375.0,-1.25,-0.01
0.48,-1.38,-0.0,0.0085,1375.0,-1.26,-0.01
0.49,-1.43,0.01,0.00858,1375.0,-1.28,-0.0
0.5,-1.47,0.01,0.00889,1375.0,-1.3,0.0
0.51,-1.53,0.02,0.0085,1375.0,-1.32,0.01
0.51,-1.47,0.01,0.00858,1375.0,-1.34,0.01
0.52,-1.39,0.01,0.00854,1375.0,-1.34,0.01
0.53,-1.31,-0.0,0.00882,1375.0,-1.34,0.01
0.54,-1.25,-0.01,0.0085,1375.0,-1.33,-0.0
0.55,-1.21,-0.02,0.00887,1375.0,-1.32,-0.01
0.56,-1.19,-0.01,0.0085,1375.0,-1.31,-0.01
0.57,-1.29,-0.01,0.00841,1375.0,-1.3,-0.01
0.57,-1.38,0.0,0.00857,1375.0,-1.31,-0.0
0.58,-1.56,0.01,0.00886,1375.0,-1.34,0.0
0.59,-1.53,0.01,0.00887,1375.0,-1.36,0.0
0.6,-1.48,0.01,0.00855,1375.0,-1.37,0.0
0.61,-1.47,0.0,0.0088,1375.0,-1.38,0.0
0.62,-1.41,0.0,0.00852,1375.0,-1.38,0.0
0.63,-1.37,-0.0,0.00849,1375.0,-1.38,0.0
0.63,-1.37,-0.0,0.00852,1375.0,-1.38,0.0
0.64,-1.36,-0.0,0.00883,1375.0,-1.38,-0.0
0.65,-1.36,-0.01,0.00885,1375.0,-1.38,-0.0
0.66,-1.38,-0.01,0.00848,1375.0,-1.38,-0.01
0.67,-1.49,-0.0,0.00883,1375.0,-1.39,-0.0
0.68,-1.58,0.0,0.00849,1375.0,-1.41,-0.0
0.69,-1.62,0.01,0.00887,1375.0,-1.43,0.0
0.7,-1.59,0.01,0.0085,1375.0,-1.44,0.0
0.71,-1.55,0.01,0.01146,1375.0,-1.45,0.0
0.72,-1.54,0.01,0.0085,1375.0,-1.46,0.01
0.72,-1.51,0.0,0.00863,1375.0,-1.47,0.0
0.73,-1.43,-0.01,0.00878,1375.0,-1.46,-0.0
0.74,-1.44,-0.01,0.00892,1375.0,-1.46,-0.0
0.75,-1.4,-0.0,0.00847,1375.0,-1.46,-0.0
0.76,-1.35,-0.01,0.00846,1375.0,-1.45,-0.0
0.77,-1.44,-0.0,0.00849,1375.0,-1.44,-0.0
